Id,MSSubClass,MSZoning_0,MSZoning_1,MSZoning_2,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Condition1_0,Condition1_1,Condition1_2,Condition1_3,Condition2_0,Condition2_1,Condition2_2,Condition2_3,BldgType_0,BldgType_1,BldgType_2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_0,RoofStyle_1,RoofStyle_2,RoofMatl_0,RoofMatl_1,RoofMatl_2,RoofMatl_3,Exterior1st_0,Exterior1st_1,Exterior1st_2,Exterior1st_3,Exterior2nd_0,Exterior2nd_1,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,MasVnrArea,ExterQual,ExterCond,Foundation_0,Foundation_1,Foundation_2,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating_0,Heating_1,Heating_2,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType_0,SaleType_1,SaleType_2,SaleType_3,SaleCondition_0,SaleCondition_1,SaleCondition_2,MasVnrType_BrkFace,MasVnrType_Stone,MasVnrType_nan,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_ELO,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,SalePrice
12,60,0,0,1,85.0,11924,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,4,9,5,2005,2006,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,286.0,0,2,0,0,1,1,3,4,1,998.0,6,0.0,177.0,1175.0,0,0,1,0,1,1182,1142,0,2324,1.0,0.0,3,0,4,1,0,11,0,2,4,4,2005.0,1,3.0,736.0,3,3,0,147,21,0,0,0,0,5,0,7,2006,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,345000
13,20,0,0,1,0.0,12968,1,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1962,1962,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.0,2,2,0,1,0,3,3,4,2,737.0,6,0.0,175.0,912.0,0,0,1,2,1,912,0,0,912,1.0,0.0,1,0,2,1,2,4,0,0,0,6,1962.0,3,1.0,352.0,3,3,0,140,0,0,0,176,0,5,0,9,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,144000
14,20,0,0,1,91.0,10652,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,7,5,2006,2007,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,306.0,1,2,0,0,1,2,3,2,6,0.0,6,0.0,1494.0,1494.0,0,0,1,0,1,1494,0,0,1494,0.0,0.0,2,0,3,1,1,7,0,1,4,2,2006.0,2,3.0,840.0,3,3,0,160,33,0,0,0,0,5,0,8,2007,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,279500
15,20,0,0,1,0.0,10920,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,6,5,1960,1960,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,212.0,2,2,0,1,0,3,3,4,3,733.0,6,0.0,520.0,1253.0,0,0,1,2,1,1253,0,0,1253,1.0,0.0,1,1,2,1,2,5,0,1,2,2,1960.0,2,1.0,352.0,3,3,0,0,213,176,0,0,0,3,0,5,2008,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,157000
16,45,0,1,0,51.0,6120,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,7,8,1929,2001,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0.0,2,2,0,1,1,3,3,4,6,0.0,6,0.0,832.0,832.0,0,0,1,0,1,854,0,0,854,0.0,0.0,1,0,2,1,2,5,0,0,0,6,1991.0,3,2.0,576.0,3,3,0,48,112,0,0,0,0,1,0,7,2007,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,132000
17,20,0,0,1,0.0,11241,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,6,7,1970,1970,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,180.0,2,2,0,1,0,3,3,4,2,578.0,6,0.0,426.0,1004.0,0,0,1,0,1,1004,0,0,1004,1.0,0.0,1,0,2,1,2,5,0,1,3,2,1970.0,1,2.0,480.0,3,3,0,0,0,0,0,0,0,5,700,3,2010,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,149000
18,90,0,0,1,72.0,10791,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,4,5,1967,1967,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,2,2,1,0,1,6,6,5,7,0.0,7,0.0,0.0,0.0,0,0,1,2,1,1296,0,0,1296,0.0,0.0,2,0,2,2,2,6,0,0,0,5,1967.0,3,2.0,516.0,3,3,0,0,0,0,0,0,0,5,500,10,2006,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90000
19,20,0,0,1,66.0,13695,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,5,5,2004,2004,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,2,2,0,0,1,3,3,4,1,646.0,6,0.0,468.0,1114.0,0,0,1,0,1,1114,0,0,1114,1.0,0.0,1,1,3,1,1,6,0,0,0,6,2004.0,3,2.0,576.0,3,3,0,0,102,0,0,0,0,5,0,6,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,159000
20,20,0,0,1,70.0,7560,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1958,1965,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0.0,2,2,0,1,0,3,3,4,5,504.0,6,0.0,525.0,1029.0,0,0,1,2,1,1339,0,0,1339,0.0,0.0,1,0,3,1,2,6,1,0,0,2,1958.0,3,1.0,294.0,3,3,0,0,0,0,0,0,0,2,0,5,2009,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,139000
21,60,0,0,1,101.0,14215,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,4,8,5,2005,2006,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,380.0,1,2,0,0,1,1,3,2,6,0.0,6,0.0,1158.0,1158.0,0,0,1,0,1,1158,1218,0,2376,0.0,0.0,3,1,4,1,1,9,0,1,4,4,2005.0,2,3.0,853.0,3,3,0,240,154,0,0,0,0,5,0,11,2006,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,325300
22,45,0,1,0,57.0,7449,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,2,7,7,1930,1950,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0.0,2,2,0,0,1,3,3,4,6,0.0,6,0.0,637.0,637.0,0,0,1,0,1,1108,0,0,1108,0.0,0.0,1,0,3,1,1,6,0,1,4,2,1930.0,3,1.0,280.0,3,3,2,0,0,205,0,0,0,1,0,6,2007,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,139400
23,20,0,0,1,75.0,9742,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,8,5,2002,2002,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,281.0,1,2,0,0,1,2,3,4,6,0.0,6,0.0,1777.0,1777.0,0,0,1,0,1,1795,0,0,1795,0.0,0.0,2,0,3,1,1,7,0,1,4,2,2002.0,2,2.0,534.0,3,3,0,171,159,0,0,0,0,5,0,9,2008,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,230000
24,120,0,1,0,44.0,4224,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,5,7,1976,1976,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0.0,2,2,0,0,1,2,3,4,1,840.0,6,0.0,200.0,1040.0,0,0,1,2,1,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,0,1,3,2,1976.0,3,2.0,572.0,3,3,0,100,110,0,0,0,0,5,0,6,2007,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,129900
25,20,0,0,1,0.0,8246,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5,8,1968,2001,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0.0,2,1,0,1,0,3,3,3,4,188.0,2,668.0,204.0,1060.0,0,0,1,0,1,1060,0,0,1060,1.0,0.0,1,0,3,1,1,6,0,1,3,2,1968.0,3,1.0,270.0,3,3,0,406,90,0,0,0,0,2,0,5,2010,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,154000
26,20,0,0,1,110.0,14230,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,8,5,2007,2007,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,640.0,1,2,0,0,1,2,3,4,6,0.0,6,0.0,1566.0,1566.0,0,0,1,0,1,1600,0,0,1600,0.0,0.0,2,0,3,1,1,7,0,1,4,2,2007.0,2,3.0,890.0,3,3,0,0,56,0,0,0,0,5,0,7,2009,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,256300
27,20,0,0,1,60.0,7200,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,7,1951,2000,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0.0,2,2,0,1,0,3,3,3,3,234.0,4,486.0,180.0,900.0,0,0,1,2,1,900,0,0,900,0.0,1.0,1,0,3,1,1,5,0,0,0,6,2005.0,3,2.0,576.0,3,3,0,222,32,0,0,0,0,5,0,5,2010,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,134800
28,20,0,0,1,98.0,11478,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,8,5,2007,2008,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,200.0,1,2,0,0,1,1,3,4,1,1218.0,6,0.0,486.0,1704.0,0,0,1,0,1,1704,0,0,1704,1.0,0.0,2,0,3,1,1,7,0,1,4,2,2008.0,2,3.0,772.0,3,3,0,0,50,0,0,0,0,5,0,5,2010,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,306000
29,20,0,0,1,47.0,16321,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1957,1997,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,2,2,0,1,0,3,3,1,3,1277.0,6,0.0,207.0,1484.0,0,0,1,2,1,1600,0,0,1600,1.0,0.0,1,0,2,1,2,6,0,2,4,2,1957.0,2,1.0,319.0,3,3,0,288,258,0,0,0,0,5,0,12,2006,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,207500
30,30,0,1,0,60.0,6324,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,4,6,1927,1950,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,2,2,0,1,1,3,3,4,6,0.0,6,0.0,520.0,520.0,0,0,1,3,0,520,0,0,520,0.0,0.0,1,0,1,1,3,4,0,0,0,6,1920.0,3,1.0,240.0,4,3,0,49,0,87,0,0,0,5,0,5,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,68500
31,70,0,1,1,50.0,8500,1,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,4,4,4,1920,1950,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0.0,2,3,0,1,1,3,3,4,6,0.0,6,0.0,649.0,649.0,0,0,1,2,0,649,668,0,1317,0.0,0.0,1,0,3,1,2,6,0,0,0,6,1920.0,3,1.0,250.0,3,4,2,0,54,172,0,0,0,2,0,7,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,40000
32,20,0,0,1,0.0,8544,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1966,2006,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0,2,2,0,1,0,3,3,4,6,0.0,6,0.0,1228.0,1228.0,0,0,1,1,1,1228,0,0,1228,0.0,0.0,1,1,3,1,1,6,0,0,0,2,1966.0,3,1.0,271.0,3,3,0,0,65,0,0,0,0,2,0,6,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,149350
33,20,0,0,1,85.0,11049,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,8,5,2007,2007,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,1,2,0,0,1,1,3,2,6,0.0,6,0.0,1234.0,1234.0,0,0,1,0,1,1234,0,0,1234,0.0,0.0,2,0,3,1,1,7,0,0,0,2,2007.0,2,2.0,484.0,3,3,0,0,30,0,0,0,0,5,0,1,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,179900
34,20,0,0,1,70.0,10552,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,5,1959,1959,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0.0,2,2,0,1,0,3,3,4,4,1018.0,6,0.0,380.0,1398.0,0,0,1,1,1,1700,0,0,1700,0.0,1.0,1,1,4,1,1,6,0,1,4,2,1959.0,2,2.0,447.0,3,3,0,0,38,0,0,0,0,5,0,4,2010,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,165500
35,120,0,0,1,60.0,7313,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,9,5,2005,2005,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,246.0,0,2,0,0,1,1,3,4,1,1153.0,6,0.0,408.0,1561.0,0,0,1,0,1,1561,0,0,1561,1.0,0.0,2,0,2,1,0,6,0,1,4,2,2005.0,1,2.0,556.0,3,3,0,203,47,0,0,0,0,5,0,8,2007,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,277500
36,60,0,0,1,108.0,13418,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,4,8,5,2004,2005,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,132.0,1,2,0,0,1,1,3,2,6,0.0,6,0.0,1117.0,1117.0,0,0,1,0,1,1132,1320,0,2452,0.0,0.0,3,1,4,1,1,9,0,1,4,4,2004.0,1,3.0,691.0,3,3,0,113,32,0,0,0,0,5,0,9,2006,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,309000
37,20,0,0,1,112.0,10859,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,5,5,1994,1995,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,2,2,0,0,1,2,3,4,6,0.0,6,0.0,1097.0,1097.0,0,0,1,0,1,1097,0,0,1097,0.0,0.0,1,1,3,1,2,6,0,0,0,2,1995.0,3,2.0,672.0,3,3,0,392,64,0,0,0,0,5,0,6,2009,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,145000
38,20,0,0,1,74.0,8532,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1954,1990,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,650.0,2,2,0,1,0,3,3,4,4,1213.0,6,0.0,84.0,1297.0,0,0,1,1,1,1297,0,0,1297,0.0,1.0,1,0,3,1,2,5,0,1,3,2,1954.0,1,2.0,498.0,3,3,0,0,0,0,0,0,0,5,0,10,2009,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,153000
39,20,0,0,1,68.0,7922,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,7,1953,2007,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,2,1,0,1,0,3,3,4,1,731.0,6,0.0,326.0,1057.0,0,0,1,2,1,1057,0,0,1057,1.0,0.0,1,0,3,1,1,5,0,0,0,6,1953.0,3,1.0,246.0,3,3,0,0,52,0,0,0,0,5,0,1,2010,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,109000
41,20,0,0,1,84.0,8658,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,6,5,1965,1965,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,101.0,2,2,0,1,0,3,3,4,4,643.0,6,0.0,445.0,1088.0,0,0,1,0,1,1324,0,0,1324,0.0,0.0,2,0,3,1,2,6,0,1,3,2,1965.0,2,2.0,440.0,3,3,0,0,138,0,0,0,0,3,0,12,2006,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,160000
42,20,0,0,1,115.0,16905,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1959,1959,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,2,1,0,1,0,3,3,1,3,967.0,6,0.0,383.0,1350.0,0,0,1,1,1,1328,0,0,1328,0.0,1.0,1,1,2,1,2,5,0,2,4,2,1959.0,2,1.0,308.0,3,3,1,0,104,0,0,0,0,5,0,7,2007,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,170000
43,85,0,0,1,0.0,9180,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,8,5,7,1983,1983,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0,2,2,0,1,0,2,3,2,2,747.0,5,93.0,0.0,840.0,0,0,1,1,1,884,0,0,884,1.0,0.0,1,0,2,1,1,5,0,0,0,2,1983.0,2,2.0,504.0,3,2,0,240,0,0,0,0,0,2,0,12,2007,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,144000
44,20,0,0,1,0.0,9200,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,5,6,1975,1980,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.0,2,2,0,1,0,2,3,2,5,280.0,3,491.0,167.0,938.0,0,0,1,2,1,938,0,0,938,1.0,0.0,1,0,3,1,2,5,0,0,0,6,1977.0,3,1.0,308.0,3,3,0,145,0,0,0,0,0,2,0,7,2008,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,130250
